21 - above,5 hrs - above,Sometimes,Neutral,"GMA news, CNN, Facebook",There are people who are not validating the information.,3
17 - 20 yrs old,5 hrs - above,Always,Strongly Agree,"Facebook, Twitter, Random share/post",Shared/post by prominent people,4
17 - 20 yrs old,5 hrs - above,Often,Neutral,"GMA news, Facebook, Twitter",There are people who are not validating the information.,3
21 - above,5 hrs - above,Always,Agree,"Prominent people, Facebook, Tiktok, Random share/post",Shared/post by prominent people,5
21 - above,1 - 2 hrs,Always,Neutral,"GMA news, Prominent people, Facebook",Shared/post by prominent people,4
21 - above,5 hrs - above,Always,Strongly Agree,"GMA news, Facebook",There are people who are not validating the information.,5
21 - above,3 - 5 hrs,Often,Neutral,"GMA news, Prominent people",There are people who are not validating the information.,4
21 - above,5 hrs - above,Always,Strongly Agree,"Facebook, Tiktok",There are people who are not validating the information.,5
17 - 20 yrs old,5 hrs - above,Always,Agree,"GMA news, Prominent people, Facebook, Twitter, Tiktok, Random share/post",There are people who are not validating the information.,3
17 - 20 yrs old,3 - 5 hrs,Always,Strongly Agree,Facebook,There are people who are not validating the information.,5
17 - 20 yrs old,5 hrs - above,Always,Neutral,"GMA news, Prominent people, Facebook, Random share/post",Shared/post by prominent people,5
21 - above,5 hrs - above,Often,Agree,"GMA news, Prominent people, Facebook",Shared/post by prominent people,3
17 - 20 yrs old,5 hrs - above,Always,Agree,"GMA news, Prominent people, Facebook, Twitter, Tiktok, Random share/post",There are people who are not validating the information.,4
21 - above,5 hrs - above,Always,Strongly Agree,"Facebook, Tiktok",Shared/post by prominent people,4
11 - 16 yrs old,5 hrs - above,Always,Neutral,"Facebook, Twitter, Tiktok",Shared/post by prominent people,5
17 - 20 yrs old,5 hrs - above,Often,Agree,"Facebook, Twitter, Tiktok",There are people who are not validating the information.,4
21 - above,3 - 5 hrs,Always,Agree,"Facebook, Tiktok, Random share/post",There are people who are not validating the information.,5
21 - above,1 - 2 hrs,Always,Strongly Agree,"GMA news, Prominent people, Facebook",There are people who are not validating the information.,3
17 - 20 yrs old,1 - 2 hrs,Always,Agree,"GMA news, Facebook",Shared/post by prominent people,3
21 - above,5 hrs - above,Always,Strongly Agree,"GMA news, Prominent people, Facebook, Random share/post",There are people who are not validating the information.,4
21 - above,5 hrs - above,Always,Agree,"CNN, Prominent people, Facebook, Twitter, Tiktok, Random share/post",There are people who are not validating the information.,2
21 - above,3 - 5 hrs,Often,Neutral,"GMA news, Facebook, Twitter",There are people who are not validating the information.,3
17 - 20 yrs old,5 hrs - above,Always,Agree,"GMA news, CNN, Facebook, Twitter, Tiktok, Random share/post",Troll,4
21 - above,5 hrs - above,Always,Neutral,"GMA news, Prominent people, Facebook, Random share/post",There are people who are not validating the information.,4
21 - above,3 - 5 hrs,Always,Neutral,"GMA news, Facebook",There are people who are not validating the information.,3
21 - above,1 - 2 hrs,Always,Neutral,"GMA news, Prominent people, Random share/post",There are people who are not validating the information.,4
21 - above,3 - 5 hrs,Always,Strongly Agree,"GMA news, BBC news, Prominent people, Facebook, Twitter, Tiktok, Random share/post",There are people who are not validating the information.,5
21 - above,5 hrs - above,Always,Agree,"Prominent people, Facebook, Twitter",Shared/post by prominent people,4
21 - above,5 hrs - above,Always,Strongly Agree,"GMA news, Prominent people, Facebook, Random share/post",Troll,4
17 - 20 yrs old,5 hrs - above,Always,Neutral,"GMA news, Facebook, Twitter",There are people who are not validating the information.,4
17 - 20 yrs old,5 hrs - above,Always,Agree,"GMA news, Facebook",Shared/post by prominent people,3
21 - above,1 - 2 hrs,Often,Neutral,"Facebook, Twitter, Tiktok",There are people who are not validating the information.,3
17 - 20 yrs old,1 - 2 hrs,Sometimes,Neutral,"Facebook, Random share/post",Shared/post by prominent people,5
17 - 20 yrs old,5 hrs - above,Sometimes,Neutral,"GMA news, Facebook, Random share/post",There are people who are not validating the information.,4
17 - 20 yrs old,5 hrs - above,Often,Agree,"GMA news, CNN",Shared/post by prominent people,4
17 - 20 yrs old,1 - 2 hrs,Often,Neutral,"GMA news, Facebook, Random share/post",Shared/post by prominent people,4
21 - above,5 hrs - above,Always,Neutral,"GMA news, CNN, Facebook, Twitter, Random share/post",Shared/post by prominent people,4
